"","CodeYear","X","iso2c","code","year","country","trade","gdppc","education","competitiveness","urban","id","cocscore","Country","Year","Code","aca_pres","aca_year","aca_yrsince","foia_pres","foia_year","foia_yrssince"
"1","ADO1996",96,"AD","ADO",1996,"Andorra",NA,NA,NA,NA,93.425,6,1.35953927,"Andorra",1996,"ADO",0,0,NA,0,0,NA
"2","ADO1997",97,"AD","ADO",1997,"Andorra",NA,NA,NA,NA,93.18,NA,NA,"Andorra",1997,"ADO",0,0,NA,0,0,NA
"3","ADO1998",98,"AD","ADO",1998,"Andorra",NA,NA,NA,NA,92.927,222,1.380148649,"Andorra",1998,"ADO",0,0,NA,0,0,NA
"4","ADO1999",99,"AD","ADO",1999,"Andorra",NA,NA,NA,NA,92.666,NA,NA,"Andorra",1999,"ADO",0,0,NA,0,0,NA
"5","ADO2000",100,"AD","ADO",2000,"Andorra",NA,NA,NA,NA,92.395,438,1.384882808,"Andorra",2000,"ADO",0,0,NA,0,0,NA
"6","ADO2001",101,"AD","ADO",2001,"Andorra",NA,NA,NA,NA,92.056,NA,NA,"Andorra",2001,"ADO",0,0,NA,0,0,NA
"7","ADO2002",102,"AD","ADO",2002,"Andorra",NA,NA,NA,NA,91.641,654,1.29933393,"Andorra",2002,"ADO",0,0,NA,0,0,NA
"8","ADO2003",103,"AD","ADO",2003,"Andorra",NA,NA,NA,NA,91.207,870,1.316519618,"Andorra",2003,"ADO",0,0,NA,0,0,NA
"9","ADO2004",104,"AD","ADO",2004,"Andorra",NA,NA,NA,NA,90.751,1086,1.101778388,"Andorra",2004,"ADO",0,0,NA,0,0,NA
"10","ADO2005",105,"AD","ADO",2005,"Andorra",NA,NA,NA,NA,90.295,1302,1.27218318,"Andorra",2005,"ADO",0,0,NA,0,0,NA
"11","ADO2006",106,"AD","ADO",2006,"Andorra",NA,NA,NA,NA,89.838,1518,1.27474761,"Andorra",2006,"ADO",0,0,NA,0,0,NA
"12","ADO2007",107,"AD","ADO",2007,"Andorra",NA,NA,NA,NA,89.363,1734,1.298273921,"Andorra",2007,"ADO",0,0,NA,0,0,NA
"13","ADO2008",108,"AD","ADO",2008,"Andorra",NA,NA,NA,NA,88.867,1950,1.319785237,"Andorra",2008,"ADO",0,0,NA,0,0,NA
"14","ADO2009",109,"AD","ADO",2009,"Andorra",NA,NA,NA,NA,88.352,2166,1.345136762,"Andorra",2009,"ADO",0,0,NA,0,0,NA
"15","AGO1996",242,"AO","AGO",1996,"Angola",152.1100715,NA,NA,NA,29.57,7,-1.15809834,"Angola",1996,"AGO",0,0,NA,0,2002,-6
"16","AGO1997",243,"AO","AGO",1997,"Angola",137.6737442,NA,NA,NA,30.268,NA,NA,"Angola",1997,"AGO",0,0,NA,0,2002,-5
"17","AGO1998",244,"AO","AGO",1998,"Angola",129.8674995,NA,12.02812,NA,30.975,223,-1.318856239,"Angola",1998,"AGO",0,0,NA,0,2002,-4
"18","AGO1999",245,"AO","AGO",1999,"Angola",178.9937855,NA,12.02433,NA,31.692,NA,NA,"Angola",1999,"AGO",0,0,NA,0,2002,-3
"19","AGO2000",246,"AO","AGO",2000,"Angola",152.4556525,NA,13.77945,NA,32.419,439,-1.516697884,"Angola",2000,"AGO",0,0,NA,0,2002,-2
"20","AGO2001",247,"AO","AGO",2001,"Angola",150.3355064,NA,15.57359,NA,33.152,NA,NA,"Angola",2001,"AGO",0,0,NA,0,2002,-1
"21","AGO2002",248,"AO","AGO",2002,"Angola",105.3017426,NA,16.80757,NA,33.895,655,-1.136933327,"Angola",2002,"AGO",0,0,NA,1,2002,0
"22","AGO2003",249,"AO","AGO",2003,"Angola",103.9012296,NA,NA,NA,34.645,871,-1.303789735,"Angola",2003,"AGO",0,0,NA,1,2002,1
"23","AGO2004",250,"AO","AGO",2004,"Angola",103.5799471,NA,NA,NA,35.405,1087,-1.281113744,"Angola",2004,"AGO",0,0,NA,1,2002,2
"24","AGO2005",251,"AO","AGO",2005,"Angola",106.5909621,NA,NA,272,36.169,1303,-1.331654906,"Angola",2005,"AGO",0,0,NA,1,2002,3
"25","AGO2006",252,"AO","AGO",2006,"Angola",94.62515933,NA,NA,272,36.942,1519,-1.227777839,"Angola",2006,"AGO",0,0,NA,1,2002,4
"26","AGO2007",253,"AO","AGO",2007,"Angola",108.0600679,NA,NA,272,37.722,1735,-1.320408344,"Angola",2007,"AGO",0,0,NA,1,2002,5
"27","AGO2008",254,"AO","AGO",2008,"Angola",121.3647079,NA,23.55459,272,38.509,1951,-1.283269048,"Angola",2008,"AGO",0,0,NA,1,2002,6
"28","AGO2009",255,"AO","AGO",2009,"Angola",128.28818,NA,24.99245,272,39.299,2167,-1.417586088,"Angola",2009,"AGO",0,0,NA,1,2002,7
"29","AGO2010",256,"AO","AGO",2010,"Angola",104.6607014,NA,28.78131,282,40.097,2383,-1.319217563,"Angola",2010,"AGO",0,0,NA,1,2002,8
"30","ALB1996",188,"AL","ALB",1996,"Albania",43.22020295,13559043822,68.13892,NA,39.473,3,-1.090980411,"Albania",1996,"ALB",0,1999,-3,0,1999,-3
"31","ALB1997",189,"AL","ALB",1997,"Albania",43.93564974,12089534214,69.67037,NA,40.035,NA,NA,"Albania",1997,"ALB",0,1999,-2,0,1999,-2
"32","ALB1998",190,"AL","ALB",1998,"Albania",45.48134083,13178662524,71.65516,NA,40.601,219,-1.008591175,"Albania",1998,"ALB",0,1999,-1,0,1999,-1
