,iso2c,code,year,country,trade,gdppc,education,competitiveness,urban,id,cocscore
96,AD,ADO,1996,Andorra,NA,NA,NA,NA,93.425,6,1.35953927
97,AD,ADO,1997,Andorra,NA,NA,NA,NA,93.18,NA,NA
98,AD,ADO,1998,Andorra,NA,NA,NA,NA,92.927,222,1.380148649
99,AD,ADO,1999,Andorra,NA,NA,NA,NA,92.666,NA,NA
100,AD,ADO,2000,Andorra,NA,NA,NA,NA,92.395,438,1.384882808
101,AD,ADO,2001,Andorra,NA,NA,NA,NA,92.056,NA,NA
102,AD,ADO,2002,Andorra,NA,NA,NA,NA,91.641,654,1.29933393
103,AD,ADO,2003,Andorra,NA,NA,NA,NA,91.207,870,1.316519618
104,AD,ADO,2004,Andorra,NA,NA,NA,NA,90.751,1086,1.101778388
105,AD,ADO,2005,Andorra,NA,NA,NA,NA,90.295,1302,1.27218318
106,AD,ADO,2006,Andorra,NA,NA,NA,NA,89.838,1518,1.27474761
107,AD,ADO,2007,Andorra,NA,NA,NA,NA,89.363,1734,1.298273921
108,AD,ADO,2008,Andorra,NA,NA,NA,NA,88.867,1950,1.319785237
109,AD,ADO,2009,Andorra,NA,NA,NA,NA,88.352,2166,1.345136762
110,AD,ADO,2010,Andorra,NA,NA,NA,NA,87.817,2382,1.333021045
111,AD,ADO,2011,Andorra,NA,NA,NA,NA,87.26,2598,1.307217717
112,AD,ADO,2012,Andorra,NA,NA,NA,NA,86.708,2814,1.294389725
113,AD,ADO,2013,Andorra,NA,NA,NA,NA,86.165,3030,1.285754204
114,AD,ADO,2014,Andorra,NA,NA,NA,NA,85.633,3246,1.251688123
115,AE,ARE,1996,United Arab Emirates,NA,2.64188E+11,NA,NA,78.493,204,-0.086589083
116,AE,ARE,1997,United Arab Emirates,NA,2.85826E+11,80.61616,NA,78.938,NA,NA
117,AE,ARE,1998,United Arab Emirates,NA,2.86661E+11,80.95871,NA,79.378,420,-0.030404057
118,AE,ARE,1999,United Arab Emirates,NA,2.9498E+11,83.36691,NA,79.81,NA,NA
119,AE,ARE,2000,United Arab Emirates,NA,3.26993E+11,NA,NA,80.236,636,0.128317997
120,AE,ARE,2001,United Arab Emirates,89.86457993,3.31568E+11,NA,NA,80.655,NA,NA
121,AE,ARE,2002,United Arab Emirates,93.07165881,3.39637E+11,NA,NA,81.067,852,1.245993972
122,AE,ARE,2003,United Arab Emirates,102.3001695,3.69527E+11,NA,NA,81.472,1068,0.939963639
123,AE,ARE,2004,United Arab Emirates,116.6226733,4.04877E+11,NA,NA,81.871,1284,1.144354463
124,AE,ARE,2005,United Arab Emirates,119.553124,4.24535E+11,NA,12,82.262,1500,1.069116354
125,AE,ARE,2006,United Arab Emirates,119.4764149,4.66298E+11,NA,12,82.648,1716,0.946885347
126,AE,ARE,2007,United Arab Emirates,136.7981529,4.81146E+11,NA,12,83.019,1932,1.077331901
127,AE,ARE,2008,United Arab Emirates,148.513544,4.96504E+11,NA,12,83.377,2148,1.130632758
128,AE,ARE,2009,United Arab Emirates,153.4619444,4.70472E+11,NA,12,83.723,2364,0.954904318
129,AE,ARE,2010,United Arab Emirates,151.0004339,4.78167E+11,NA,12,84.055,2580,0.928728223
130,AE,ARE,2011,United Arab Emirates,162.6262342,5.03069E+11,NA,12,84.375,2796,1.072806239
131,AE,ARE,2012,United Arab Emirates,175.9606831,5.37748E+11,NA,12,84.684,3012,1.176153898
132,AE,ARE,2013,United Arab Emirates,178.1595583,5.60986E+11,NA,12,84.981,3228,1.292922616
133,AE,ARE,2014,United Arab Emirates,175.8747363,5.86625E+11,NA,12,85.266,3444,1.233053327
153,AG,ATG,1996,Antigua and Barbuda,174.2282223,1252438531,NA,NA,33.59,9,0.901485145
154,AG,ATG,1997,Antigua and Barbuda,158.9333163,1313630693,NA,NA,33.221,NA,NA
155,AG,ATG,1998,Antigua and Barbuda,154.1556657,1371531251,NA,NA,32.855,225,0.920661032
156,AG,ATG,1999,Antigua and Barbuda,153.7392045,1428060346,NA,NA,32.49,NA,NA
157,AG,ATG,2000,Antigua and Barbuda,123.1534659,1500059854,77.87454,NA,32.127,441,0.913646162
